City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
113,blackmans bay,-43.0167,147.3167,57.52,71,81,7.63,AU,1712878139
114,sao felix do xingu,-6.6447,-51.995,75.36,95,85,1.05,BR,1712878139
115,riosucio,5.4216,-75.7032,67.01,84,97,2.89,CO,1712878139
116,behshahr,36.6923,53.5526,55.35,90,100,9.55,IR,1712878140
117,box elder,41.5005,-112.8764,54.43,48,9,5.91,US,1712878140
118,sorochinsk,52.4338,53.1583,50.76,74,96,14.14,RU,1712878140
119,margaret river,-33.95,115.0667,52.97,88,5,12.01,AU,1712878140
120,tiksi,71.6872,128.8694,-14.22,94,23,12.15,RU,1712878140
121,eureka,40.8021,-124.1637,58.93,71,56,8.01,US,1712878140
122,taikang,46.8333,124.4167,54.34,72,99,20.96,CN,1712878140
123,lerwick,60.1545,-1.1494,50.0,83,100,16.91,GB,1712878140
124,yellowknife,62.456,-114.3525,37.92,60,40,12.66,CA,1712877863
125,coahuayana de hidalgo,18.7,-103.6583,83.23,51,3,6.11,MX,1712878141
126,tannum sands,-23.9504,151.3693,76.89,61,0,12.66,AU,1712878141
127,tadine,-21.55,167.8833,75.49,75,100,8.48,NC,1712878141
128,arawa,-6.2132,155.5367,87.73,65,85,0.51,PG,1712878141
129,razumnoye,50.5344,36.6846,61.66,63,0,8.95,RU,1712878141
130,pambujan,12.5642,124.9276,78.4,89,84,4.85,PH,1712878141
131,ust-nera,64.5667,143.2,19.24,92,89,5.35,RU,1712878142
132,quellon,-43.1167,-73.6167,48.54,73,0,4.72,CL,1712878142
133,jamestown,42.097,-79.2353,63.99,97,100,10.36,US,1712877894
134,puerto carreno,6.189,-67.4859,98.91,26,65,11.32,CO,1712878142
135,tevriz,57.509,72.4042,24.08,85,60,7.96,RU,1712878142
136,moires,35.0532,24.8744,60.76,75,5,3.0,GR,1712878142
137,flying fish cove,-10.4217,105.6791,80.28,83,75,9.22,CX,1712878142
138,vadso,70.0744,29.7487,33.96,75,100,20.71,NO,1712878143
139,prince rupert,54.3161,-130.3201,44.69,68,100,10.36,CA,1712877912
140,par naogaon,24.8029,88.9508,76.06,45,79,7.43,BD,1712878143
141,dalandzadgad,43.5708,104.425,47.79,39,5,8.16,MN,1712878143
142,ulladulla,-35.35,150.4667,57.78,66,52,0.78,AU,1712878143
143,miri,4.4148,114.0089,78.94,100,20,2.3,MY,1712878143
144,malone,44.8487,-74.2949,59.09,78,91,15.86,US,1712878038
145,kruisfontein,-34.0033,24.7314,55.89,75,3,7.07,ZA,1712878143
146,carnarvon,-24.8667,113.6333,70.29,65,72,20.11,AU,1712878144
147,san andres,12.5847,-81.7006,86.02,74,20,12.66,CO,1712878144
148,biloxi,30.396,-88.8853,71.65,43,0,17.27,US,1712877914
149,minas de marcona,-15.2119,-75.1103,64.22,76,6,15.5,PE,1712878144
150,colchani,-20.3,-66.9333,58.24,24,16,6.49,BO,1712878144
151,bayganin,48.6947,55.8742,48.31,68,100,5.97,KZ,1712878144
152,alesund,62.4723,6.1549,50.92,71,20,13.8,NO,1712878144
